1,2,3,4,5,6,7,8,9,10
5.4059712e+01,1.7690000e+03,5.0000000e+00,7.9838327e+00,3.0061901e+01,5.0176013e+00,1.2647246e+00,7.0657790e-05,8.5586620e-05,1.1721991e-05
7.5330907e+00,1.5960000e+03,5.0000000e+00,1.3997242e+01,1.4364476e+01,5.4272000e+00,2.8644390e+00,2.9951465e-05,9.1836118e-06,9.8380229e-06
5.2163544e+01,1.8270000e+03,5.0000000e+00,2.0254748e+01,2.7101899e+01,5.4968476e+00,2.6347732e+00,4.3837223e-06,3.5134788e-05,7.5712597e-05
5.2542509e+00,1.9000000e+03,5.0000000e+00,5.2159023e+00,2.0644790e+01,1.1350191e+01,2.4284159e+00,6.8107628e-05,5.4258467e-05,3.7880450e-05
5.7620525e+01,1.8330000e+03,5.0000000e+00,7.2042658e-01,2.6253880e+01,6.6005155e+00,2.1807426e+00,1.1503516e-05,8.7239498e-05,1.5446525e-05
5.8424898e+01,1.5000000e+03,5.0000000e+00,2.1421965e+01,3.3255415e+01,1.1633237e+01,1.1099888e+00,7.8228383e-05,2.0298814e-05,6.5679826e-05
2.3409158e+01,1.8620000e+03,5.0000000e+00,1.6815228e+00,3.1524699e+01,8.8683373e+00,2.6166804e+00,5.2055708e-05,7.9384400e-07,2.6687584e-05
4.7636550e+01,1.6220000e+03,5.0000000e+00,1.6506879e+01,2.9874147e+01,6.1102211e+00,1.8271586e+00,6.0294065e-06,2.0479581e-05,3.3405390e-05
2.1667637e+01,1.6280000e+03,5.0000000e+00,1.7530179e+01,2.4093979e+01,6.0916767e+00,2.4974294e+00,1.6072067e-05,8.4865881e-05,5.2057073e-05
6.9335211e+01,1.7820000e+03,5.0000000e+00,1.8064337e+01,1.9836838e+01,1.1460126e+01,2.9796384e+00,9.0779747e-05,9.6694759e-05,3.1803808e-05
1.4448234e+01,1.5430000e+03,5.0000000e+00,2.3074886e+00,1.4109507e+01,5.4425611e+00,2.0859702e+00,6.8489198e-05,8.1171898e-05,2.8686042e-05
6.4917565e+01,1.9440000e+03,5.0000000e+00,7.4769274e+00,2.9562014e+01,1.0316117e+01,1.1574713e+00,8.5676282e-05,3.3801656e-05,2.0376745e-05
1.2015426e+01,1.5210000e+03,5.0000000e+00,1.7808175e+01,3.2694380e+01,1.0001405e+01,1.7151953e+00,3.0632223e-05,7.6393223e-05,6.9188019e-05
9.3354053e+00,1.7150000e+03,5.0000000e+00,2.3108820e+01,2.4816365e+01,1.1308099e+01,1.3521934e+00,9.2238853e-06,9.0600934e-05,9.3804394e-05
3.7765084e+01,1.9210000e+03,5.0000000e+00,1.3229669e+01,2.8497511e+01,3.3561809e+00,1.7412134e+00,3.5673506e-05,1.6243169e-05,1.4511025e-05
5.1660645e+00,1.8000000e+03,5.0000000e+00,1.5607294e+01,3.1232166e+01,7.9757202e+00,2.2331526e+00,1.7951657e-05,4.5268504e-05,4.4960822e-06
4.5060738e+01,1.7690000e+03,5.0000000e+00,1.5626565e+01,1.2966394e+01,3.4474833e+00,2.7530722e+00,7.7507365e-05,5.8834722e-05,9.7742163e-05
3.9482155e+01,1.6550000e+03,5.0000000e+00,1.6597069e-01,3.2542475e+01,7.3857019e+00,2.6492067e+00,8.1296274e-05,3.7855176e-05,9.3639847e-05
5.4124926e+01,1.6380000e+03,5.0000000e+00,1.8708645e+01,2.6504465e+01,8.6187602e+00,2.0548503e+00,7.7756515e-05,3.0274002e-05,6.8345568e-05
5.3334933e+01,1.5600000e+03,5.0000000e+00,2.2430382e+01,2.4993099e+01,9.4456392e+00,1.5309477e+00,4.6202811e-05,7.2079930e-06,7.4765453e-05
3.4499106e+01,1.5370000e+03,5.0000000e+00,1.3429200e+01,2.7893102e+01,1.0207656e+01,2.0332749e+00,5.8610278e-05,8.9195475e-05,6.9985147e-05
3.6919394e+00,1.9890000e+03,5.0000000e+00,7.7325491e+00,2.1733249e+01,4.6030446e+00,2.6119749e+00,7.2861956e-05,5.7722305e-05,3.4822961e-05
2.5214561e+01,1.9500000e+03,5.0000000e+00,1.8620581e+00,2.9714604e+01,1.0877266e+01,2.0190571e+00,3.3302581e-05,4.3950641e-06,8.9879158e-05
